word,phonetic,translation,tag,exchange
hovercraft,'hʌvәkræft,n. 气垫船,toefl,
how,hau,"adv. 如何, 怎样, 多少, 多么\nn. 方式",zk gk,
however,hau'evә,"adv. 然而, 无论如何, 究竟怎样\nconj. 然而, 可是",zk gk cet4 ky,
howl,haul,"n. 嗥叫, 吠声, 号叫\nvi. 狂吠, 咆哮, 呼啸\nvt. 对...吼叫, 狂喊着说",gk cet6 ky toefl ielts,p:howled/s:howls/i:howling/3:howls/d:howled
howler,'haulә,"n. 咆哮者, 号哭的人\n[电] 啸鸣电路",gre,s:howlers
hub,hʌb,"n. 毂, 木片, 中心\n[计] 插座; 插孔; 集线器, 集中器, 连接器, 中继站",toefl gre,s:hubs
hubbub,'hʌbʌb,"n. 吵闹声, 叫嚷声, 混乱",toefl ielts gre,
hubris,'hju:bris,"n. 傲慢, 狂妄野心",gre,
huckster,'hʌkstә,"n. 小商人, 叫卖的小贩, 吃广告饭的人\nvt. 贩卖, 叫卖, 还价\nvi. 叫卖, 讨价还价",gre,s:hucksters/i:huckstering/p:huckstered/3:hucksters/d:huckstered
huddle,'hʌdl,"n. 杂乱一团, 混乱, 拥挤\nvt. 把...挤在一起, 乱堆, 草率了事, 蜷曲\nvi. 挤作一团, 蜷缩",cet6 ky toefl ielts gre,p:huddled/d:huddled/i:huddling/s:huddles/3:huddles
hue,hju:,"n. 样子, 色度, 色彩, 叫声, 色调\n[计] 色调",toefl gre,s:hues/p:hued
hug,hʌg,"n. 紧抱, 拥抱\nvt. 紧抱, 坚持, 使沾沾自喜",gk cet6 ky ielts,p:hugged/i:hugging/s:hugs/d:hugged/3:hugs
huge,hju:dʒ,"a. 极大的, 巨大的, 无限的",zk gk cet4 ky,
hulk,hʌlk,"n. 船体, 笨重的船, 废然大物",gre,s:hulks/3:hulks/p:hulked/i:hulking/d:hulked
hull,hʌl,"n. 壳, 皮, 船体\nvt. 去壳",cet6 gre,s:hulls/p:hulled/i:hulling/3:hulls/d:hulled
hum,hʌm,"n. 嗡嗡声, 哼声, 杂声\nvi. 发低哼声\nvt. 哼, 用哼声表示\ninterj. 哼, 嗯",cet6 ky ielts,i:humming/p:hummed/3:hums/s:hums/d:hummed
human,'hju:mәn,"n. 人, 人类\na. 人类的, 似人类的, 人性的, 有同情心的",zk gk cet4 ky toefl ielts,s:humans
humane,hju:'mein,"a. 有人情的, 人道的, 仁慈的",toefl gre,
humanist,'hju:mәnist,"n. 人道主义者, 人文学者",toefl,s:humanists
humanistic,.hju:mә'nistik,"a. 人本主义的, 人道主义的\n[法] 人道主义的, 人文主义的, 人本主义的",toefl,
humanitarian,hju:.mæni'tєәriәn,"n. 人道主义者, 博爱者, 基督凡人论者\na. 人道主义的, 博爱的, 凡人论的",cet6 toefl,s:humanitarians
humanity,hju:'mæniti,"n. 人性, 人类, 博爱",cet6 ky toefl ielts,
humans,,n. 人类（human的复数形式）,ielts,0:human/1:s
humble,'hʌmbl,"a. 低下的, 谦逊的, 粗陋的\nvt. 使...卑下, 降低...地位, 贬抑",cet4 cet6 ky toefl ielts gre,d:humbled/p:humbled/3:humbles/i:humbling
humdrum,'hʌmdrʌm,"a. 平凡的, 单调的, 令人厌烦的\nn. 平凡, 单调, 无聊\nvi. 单调令味地进行",ielts gre,
humid,'hju:mid,"a. 潮湿的, 湿润的, 多湿气的",cet4 cet6 ky toefl gre,
humidity,hju:'miditi,"n. 湿气, 潮湿, 湿度\n[计] 湿度",cet6 ky toefl ielts gre,s:humidities
humiliate,hju:'milieit,"vt. 使丢脸, 使蒙羞, 屈辱",ky toefl ielts gre,d:humiliated/p:humiliated/i:humiliating/3:humiliates
humiliation,hju:.mili'eiʃәn,"n. 耻辱, 丢脸, 谦卑",cet6,s:humiliations
humility,hju:'militi,"n. 谦逊, 谦虚, 谦卑",toefl gre,
hummingbird,'hʌmiŋb\\\\:d,n. 蜂鸟,toefl,s:hummingbirds
humor,'hju:mә,"n. 幽默, 诙谐, 心情\nvt. 迎合, 牵就, 顺应",cet4 ky gre,3:humors/s:humors/i:humoring/p:humored/d:humored
humorous,'hju:mәrәs,"a. 富幽默感的, 滑稽的, 诙谐的",zk gk cet4 cet6 ky toefl,
humour,'hju:mә,"n. 幽默, 诙谐, 情绪, 体液\nvt. 使满足, 迁就",gk cet4 cet6,s:humours/i:humouring/p:humoured/d:humoured/3:humours
hump,hʌmp,"n. 驼背, 圆形隆起物, 鸵峰\nvi. 隆起, 急速行进, 努力\nvt. 使弓起, 使烦恼, 使努力干",toefl,s:humps/i:humping/p:humped/d:humped/3:humps
hunch,hʌntʃ,"n. 肉峰, 预感, 大块\nvt. 弯腰驼背, 预感到, 耸肩\nvi. 向前移动, 隆起",gre,d:hunched/s:hunches/p:hunched/i:hunching/3:hunches
hundred,'hʌndrәd,"n. 百, 百个东西\nnum. 百, 百个\na. 一百的, 许多的",zk gk,
hunger,'hʌŋgә,"n. 饥饿, 渴望, 饥荒\nvt. 使挨饿\nvi. 挨饿, 渴望",gk cet4 cet6 ky toefl,s:hungers/p:hungered/i:hungering/d:hungered/3:hungers
hungry,'hʌŋgi,"a. 饥饿的, 荒年的, 渴望的, 不毛的\n[化] 欠鞣皮",zk gk,r:hungrier/t:hungriest
hunk,hʌŋk,"n. 大块\na. 行的, 好的",gre,s:hunks/3:hunks
hunt,hʌnt,"n. 狩猎, 追捕, 搜寻, 猎区\nvt. 狩猎, 打猎, 搜索\nvi. 打猎, 猎食, 搜寻",gk cet4 cet6 ky ielts,i:hunting/d:hunted/p:hunted/s:hunts/3:hunts
hunter,'hʌntә,"n. 猎人, 猎犬, 追求者",gk,s:hunters
hunting,'hʌntiŋ,"n. 狩猎, 猎狐, 探求\n[计] 寻找平衡; 寻找",ielts,0:hunt/1:i/i:hunting
hurdle,'hә:dl,"n. 障碍, 跳栏, 临时活动篱笆\nvt. 用篱笆围, 越过, 克服",toefl gre,s:hurdles/i:hurdling/p:hurdled/d:hurdled/3:hurdles
hurl,hә:l,"n. 用力的投掷\nvt. 用力投掷, 发射, 愤慨地说出, 丢下\nvi. 猛投, 猛掷",cet6 ky toefl ielts gre,p:hurled/d:hurled/i:hurling/3:hurls
hurrah,hu'rɑ:,"n. 欢呼声, 骚动, 欢乐\nv. 欢呼, 呼万岁, 以欢呼迎接\ninterj. 万岁",cet6,s:hurrahs/i:hurrahing/p:hurrahed/3:hurrahs/d:hurrahed
hurricane,'hә:rikәn,"n. 飓风, 暴风, 暴风雨",gk cet6 ky toefl ielts gre,s:hurricanes
hurry,'hʌri,"n. 匆忙, 急忙, 急促\nvt. 急派, 催促\nvi. 匆忙, 赶快",zk gk,p:hurried/i:hurrying/d:hurried/3:hurries
hurt,hә:t,"n. 伤害, 创伤, 损害\nv. 伤害, (使)伤心, 危害, 刺痛",zk gk cet4 cet6 ky,d:hurt/0:hurt/1:dp/p:hurt/i:hurting/3:hurts/s:hurts
husband,'hʌzbәnd,"n. 丈夫, 管理人, 节俭的人\nvt. 节俭, 使成丈夫, 持有",zk gk gre,s:husbands/i:husbanding/p:husbanded/3:husbands/d:husbanded
husbandry,'hʌzbәndri,"n. 农事, 饲养业, 家政",toefl gre,
hush,hʌʃ,"n. 肃静, 安静, 沉默\nvt. (使)肃静, (使)安静, (使)缄默\ninterj. 嘘, 别作声",cet6 gre,p:hushed/d:hushed/i:hushing/3:hushes/s:hushes
husk,hʌsk,"n. 外壳, 皮, 无价值之物\nvt. 剥...的壳, 削皮",toefl gre,s:husks/p:husked/i:husking
husky,'hʌski,"n. 强壮结实之人, 爱斯基摩人\na. 有壳的, 声音沙哑的, 强壮的",gre,r:huskier/s:huskies/t:huskiest
hustle,'hʌsl,"n. 心碌, 挤, 推, 拥挤喧嚷\nvt. 催促, 乱挤活动, 硬逼, 强夺\nvi. 赶紧, 硬挤过去",toefl,d:hustled/p:hustled/i:hustling/s:hustles/3:hustles
hut,hʌt,"n. 小屋, 茅舍, 临时军营\nv. (使)住在茅舍",cet4 cet6 ky gre,s:huts
hybrid,'haibrid,"n. 混血儿, 杂种, 混合物\na. 混合的, 杂种的, 混合语的\n[计] NetWare的主机实用程序, 双重用户建立程序",toefl gre,s:hybrids
hydrant,'haidrәnt,"n. 给水栓, 水龙头, 消火栓",gre,s:hydrants
hydrate,'haidreit,"n. 水合物, 水化合物, 氢氧化物\nvt. 使成水化合物",gre,d:hydrated/i:hydrating/p:hydrated/3:hydrates/s:hydrates
hydraulic,hai'drɒ:lik,"a. 与水有关的, 水力的, 水压的\n[电] 水力的",cet6,
hydrocarbon,.haidrәu'kɑ:bәn,n. 碳氢化合物\n[化] 烃; 碳氢化合物,cet6,s:hydrocarbons
hydrogen,'haidrәdʒәn,n. 氢\n[化] 氢H-2,gk cet4 cet6 ky toefl ielts,s:hydrogens
hydrosphere,'haidrәsfiә,"n. 水圈, 水界, 水气",toefl,
hygiene,'haidʒi:n,"n. 卫生保健, 卫生学, 保健法\n[医] 卫生, 卫生学",toefl ielts gre,
hymn,him,"n. 赞美诗, 圣歌\nv. 唱赞美歌",cet6 gre,s:hymns/d:hymned/p:hymned/i:hymning/3:hymns
hyperactivity,,"n. 活动过多, 机能亢进, 机能过敏\n[医] 活动过强, 机能亢进",gre,
hyperbole,hai'pә:bәli,n. 夸张法,gre,s:hyperboles
hypersensitive,.haipә'sensitiv,"a. 过敏的, 高灵敏度的\n[医] 过敏的",toefl,
hypertension,.haipә'tenʃәn,"n. 高血压, 过度紧张\n[医] 高血压, 血压过高, 张力过强, 压力过高",gre,
hyphen,'haifәn,n. 连字符\nvt. 用连字符连接,gre,s:hyphens/p:hyphened/i:/3:hyphens/d:
hypnotic,hip'nɒtik,"a. 催眠的, 在受催眠状态中, 易于催眠的\nn. 催眠药, 安眠药, 催眠状态的人",gre,s:hypnotics
hypocrisy,hi'pɒkrәsi,"n. 伪善\n[法] 伪善, 虚伪",ky,s:hypocrisies
hypocrite,'hipәkrit,"n. 伪君子, 伪善者",gre,s:hypocrites
hypocritical,.hipә'kritikl,"a. 伪善的, 伪善者的",gre,
hypodermic,.haipә'dә:mik,"a. 皮下的, 真皮的\nn. 皮下注射, 皮下注射器",gre,s:hypodermics
hypotenuse,hai'pɒtnju:s,n. (直角三角形之)斜边,gre,
hypotheses,,"pl. 假说, 前提, 假设, 假定",cet6,0:hypothesis/1:s
hypothesis,hai'pɒθәsis,n. 假设\n[化] 假设,cet6 ky toefl ielts gre,s:hypotheses
hypothesize,hai'pɔθisaiz,"vt. 假设, 假定",toefl,d:hypothesized/p:hypothesized/i:hypothesizing/3:hypothesizes
hypothetical,",haipәu'θetikәl","a. 假设的, 有待证实的, 假定的, 有前提的\n[计] 理想的",gre,s:hypotheticals
hysteria,his'tiәriә,"n. 歇斯底里症, 不正常的兴奋, 癔病\n[医] 癔病, 歇斯底里",cet6 gre,s:hysterias
hysterical,his'terikәl,"a. 歇斯底里的, 异常兴奋的\n[医] 癔病的, 歇斯底里的",cet6 ky ielts,
I,ai,"pron. 我\n[计] 电流, 中断, 指令, 指示符",zk gk,
i.e.,'ai'i:,adv. 也就是,cet4 cet6,
ice,ais,"n. 冰, 冰淇淋, 糖衣, 冷若冰霜, 矜持, 贿赂\nvt. 使结冰, 冰镇, 覆以糖衣\nvi. 结冰",zk gk ielts,i:icing/s:ices/d:iced/p:iced/3:ices
ice cream,,冰淇淋\n[化] 冰淇淋,zk,
ice-cream,'aiskri:m,"a. 冰淇淋的, 乳白色的",cet4,s:ice-creams
iceberg,'aisbә:g,"n. 冰山, 冷冰冰的人",toefl,s:icebergs
Iceland,'aislәnd,n. 冰岛,gk,s:icelands
ichthyosaur,'ikθiәsɒ:,n. 鱼龙,toefl,s:ichthyosaurs
icicle,'aisikl,"n. 垂冰, 冰柱, 冷冰冰的人",toefl gre,s:icicles
icing,'aisiŋ,"n. 糖衣, 结冰",gre,0:ice/1:i/i:icing/s:icings
icon,'aikɒn,"n. 画像, 肖像, 偶像, 图标, 像标\n[计] 像标, 图标",toefl gre,s:icons
iconoclast,ai'kɒnәklæst,"n. 反对偶象崇拜者, 提倡打破旧习的人",gre,s:iconoclasts/3:iconoclasts
iconoclastic,ai.kɒnәu'klæstik,"a. 反对偶象崇拜的, 打破旧习的",gre,
iconographic,ai.kɔnә'ɡræfik,a. 图像材料的；肖像学的；肖像的；图示法的象征,toefl,
icy,'aisi,"a. 冰的, 冰冷的, 冷淡的, 滑溜的",cet6,r:icier
idea,ai'diә,"n. 主意, 办法, 理想, 思想, 概念, 意见\n[医] 观念, 思想",zk gk ielts,s:ideas
ideal,ai'diәl,"n. 理想, 典范, 观念, 思想, 最后目标\na. 理想的, 完美的, 空想的, 观念的, 唯心论的",cet4 cet6 ky toefl ielts,s:ideals
idealism,ai'diәlizm,"n. 唯心主义, 观念论, 唯心论, 理想主义",cet6,s:idealisms
ideally,ai'diәli,"adv. 完美地, 理想地",cet6,
ideas,,abbr. 工业设计优秀奖,ielts,0:idea/1:s
identical,ai'dentikәl,"a. 同一的, 恒等的, 完全相同的\n[医] 同一的, 同等的",cet4 cet6 ky toefl ielts,
identifiable,ai'dentifaiәbl,"a. 可辨认的\n[法] 可证明为同一的, 可以办清的",toefl,
identification,ai.dentifi'keiʃәn,"n. 识别, 身份证明, 认同\n[化] 鉴定; 鉴别; 鉴别法; 认证",gk cet4 cet6 ky toefl ielts,s:identifications
identify,ai'dentifai,"vt. 识别, 认为...等同于, 确定, 使参与\nvi. 一致, 认同",cet4 cet6 ky toefl ielts,d:identified/i:identifying/3:identifies/p:identified
identities,aiˈdentitiz,n. 身份( identity的名词复数 ); 同一性; 个性; 同一人,ielts,0:identity/1:s
identity,ai'dentiti,"n. 身份, 相同, 一致, 特性, 恒等式\n[计] (打)标记, 标识",gk cet4 ky toefl ielts,s:identities
ideological,.aidiә'lɒdʒikәl,"a. 意识形态的, 空想的\n[法] 思想的, 思想上的, 意识形态的",toefl,
ideology,.aidi'ɒlәdʒi,"n. 思想体系, 意识形态, 观念学, 空论\n[医] 观念学, 观念形态",cet6 ky toefl ielts gre,s:ideologies
idiocy,'idiәsi,"n. 白痴, 极端愚蠢\n[医] 白痴",toefl,s:idiocies
idiom,'idiәm,"n. 习语, 成语, 惯用语法, 方言",gk cet4 cet6 ky toefl ielts gre,s:idioms
idiomatic,.idiә'mætik,"a. 符合语言习惯的, 惯用的, 有许多习语的",toefl,
idiosyncrasy,.idiә'siŋkrәsi,"n. 气质, 特性, 风格\n[化] 特异反应; 特异性体质",toefl,s:idiosyncrasies
idiot,'idiәt,"n. 白痴, 极蠢之人\n[医] 白痴者, 痴子",cet6 ky toefl ielts,s:idiots
idiotic,.idi'ɒtik,"a. 白痴的, 愚蠢的, 呆头呆脑的",toefl,
idle,'aidl,"a. 懒惰的, 闲散的, 停顿的, 空闲的, 无用的\nvi. 无所事事, 闲散, 浪费, 空转\nvt. 虚度, 使闲散, 使空转\nn. 空转, 空闲时间\n[计] 空闲时间",cet4 cet6 ky ielts gre,i:idling/p:idled/d:idled/3:idles
idleness,'aidlnis,"n. 懒惰, 闲散, 失业\n[化] 空载",cet6,
idol,'aidәl,"n. 偶像, 崇拜物, 宠儿, 幻象, 谬论",toefl gre,s:idols
idolater,ai'dɒlәtә,"n. 偶像崇拜者, 崇拜者, 皈依者",gre,
idolatrize,ai'dɔlәtraiz,vt. 把…奉为偶像；盲目崇拜,gre,
idolize,'aidәlaiz,"vt. 把...当偶像崇拜, 极端崇拜, 醉心于\nvi. 崇拜偶像",gre,p:idolized/d:idolized/i:idolizing/3:idolizes
idyll,"'idil, 'aidil","n. 叙事诗, 田园景色, 田园诗, 田园乐曲, 牧歌",gre,s:idylls
idyllic,ai'dilik,"a. 田园诗的, 牧歌的, 悠闲的",toefl,
if,if,"conj. 如果, 是否, 无论何时, 假设, 即使\nn. 条件\n[计] DOS批处理命令:根据所测试的条件决定是否执行另一条命令",zk gk,
igneous,'igniәs,"a. 火的, 似火的, 火成的",toefl gre,
ignite,ig'nait,"vt. 点燃, 使灼热, 使兴奋",cet6 ky toefl ielts gre,d:ignited/p:ignited/i:igniting/3:ignites
ignoble,ig'nәubl,"a. 卑贱的, 卑鄙的, 低级的",toefl gre,
ignominious,.ignәu'miniәs,"a. 可耻的, 不名誉的, 下流的",toefl gre,
ignominy,'ignәmini,"n. 耻辱, 无耻行为, 不体面\n[法] 无耻行为, 丑行, 耻辱",gre,
ignorance,'ignәrәns,"n. 无知, 愚味\n[法] 无知, 不知情, 愚昧",cet6 ky toefl ielts,
ignorant,'ignәrәnt,"a. 无知识的, 不知道的, 由无知产生的\n[法] 无知的, 愚昧的, 不知情的",cet4 cet6 ky toefl gre,s:ignorants
ignore,ig'nɒ:,"vt. 不理睬, 忽视, 驳回, 忽略\n[计] 忽略",gk cet4 cet6 ky toefl,d:ignored/i:ignoring/p:ignored/3:ignores
ill,il,"n. 疾病, 坏事, 罪恶, 灾难\na. 生病的, 邪恶的, 不吉利的, 敌意的, 不良的, 不顺利的\nadv. 有害地, 不幸地, 几乎不",zk gk,s:ills
illegal,i'li:gәl,"a. 违法的, 不合规定的\n[经] 非法的, 犯规的",gk cet4 cet6 ky ielts gre,s:illegals
illegible,i'ledʒәbl,"a. 难辨认的, 字迹模糊的",toefl gre,
illegitimate,.ili'dʒitimәt,"a. 不法的, 私生的, 不合规则的, 不合理的, 不符合习惯的\nn. 无合法身份的人\nvt. 宣告...为非法, 证明...为私生",toefl gre,s:illegitimates
illiberal,i'libәrәl,"a. 狭隘的, 无教养的, 吝啬的",gre,
illicit,i'lisit,"a. 不法的, 不正当的, 禁止的\n[法] 违法的, 违禁的, 被禁止的",toefl gre,3:illicits
illiterate,i'litәrәt,"n. 文盲\na. 目不识丁的, 没受教育的",cet6 ky toefl ielts gre,s:illiterates
illness,'ilnis,"n. 疾病, 恶意\n[医] 病",zk gk cet4 ky ielts,s:illnesses
illuminate,i'lju:mineit,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂\nvi. 照亮, 用灯装饰",cet6 ky toefl ielts gre,d:illuminated/3:illuminates/i:illuminating/p:illuminated
illuminati,i.lu:mi'nɑ:ti:,n. 先觉者,gre,s:illuminati/0:illuminati/1:s
illumination,i.lju:mi'neiʃәn,"n. 照明, 阐明, 启发\n[医] 照明, 映光",toefl,s:illuminations
illusion,i'lju:ʒәn,"n. 幻影, 错觉, 幻想\n[医] 错觉",cet4 cet6 ky toefl ielts gre,s:illusions
illusive,i'lju:siv,"a. 幻影的, 错觉的, 迷惑人的",toefl gre,
illusory,i'lju:sәri,"a. 产生幻觉的, 幻影的, 错觉的\n[法] 因错觉产生的, 虚幻的",gre,
illustrate,'ilәstreit,"vt. 举例说明, 作图解, 阐明\nvi. 举例说明",cet4 cet6 ky toefl ielts gre,d:illustrated/3:illustrates/i:illustrating/p:illustrated
illustration,.ilә'streiʃәn,"n. 例证, 插图\n[化] 插图",cet4 cet6 ky toefl,s:illustrations
illustrious,i'lʌstriәs,"a. 著名的, 辉煌的, 明亮的",toefl gre,
image,'imidʒ,"n. 影像, 肖像, 想象, 图像, 形象, 翻版\nvt. 作...的像, 反映, 想象, 象征\nn. 图像\n[计] 图象",cet4 cet6 ky toefl ielts,s:images/i:imaging/d:imaged/p:imaged/3:images
imagery,'imidʒәri,"n. 肖像, 比喻, 雕刻\n[化] 成像",toefl,s:imageries
imaginary,i'mædʒinәri,"a. 想像的, 虚构的, 假想的",cet4 cet6 ky toefl,
imagination,i.mædʒi'neiʃәn,"n. 想像, 听觉, 想像力\n[医] 想像",cet4 cet6 ky,s:imaginations
imaginative,i'mædʒinәtiv,"a. 想像的, 虚构的",cet6 ky toefl ielts,
imagine,i'mædʒin,"vt. 想像, 设想, 猜测\nvi. 想像起来",zk gk cet4 cet6 ky toefl,d:imagined/p:imagined/i:imagining/3:imagines
imbalance,im'bælәns,"n. 不平衡, 不均衡\n[医] 不平衡, 失调",toefl,s:imbalances/d:imbalanced/p:imbalanced/i:imbalancing
imbecile,'imbisi:l,"a. 低能的, 愚钝的, 虚弱的\nn. 低能者, 痴呆, 蠢人",gre,s:imbeciles
imbibe,im'baib,"vt. 饮, 吸取, 吸入\nvi. 喝, 吸收水分",toefl gre,d:imbibed/i:imbibing/p:imbibed/3:imbibes
imbroglio,im'brәuljәu,"n. 纷乱, 纠葛, 一团糟",gre,
imbue,im'bju:,"vt. 使感染, 灌输, 使浸透",toefl gre,d:imbued/3:imbues/i:imbuing/p:imbued
imitate,'imiteit,"vt. 模仿, 效法, 冒充, 仿造",cet4 cet6 ky toefl ielts,i:imitating/d:imitated/p:imitated/3:imitates
imitation,.imi'teiʃәn,"n. 模仿, 效法, 冒充, 赝品\n[医] 模仿, 仿制, 仿制品",cet6 ky toefl ielts gre,s:imitations
imitative,'imitәtiv,"a. 喜模仿的, 伪造的, 仿制的, 摹拟的",gre,
immaculate,i'mækjulit,"a. 无污点的, 纯洁的, 无缺点的, 无辜的\n[医] 无斑点, 无瑕疵的, 洁净的",gre,
immanent,'imәnәnt,"a. 内在的, 固有的",gre,
immediate,i'mi:diәt,"a. 立即的, 直接的, 接近的\n[医] 直接的, 立即的",gk cet4 cet6 ky toefl,
immediately,i'mi:diәtli,"adv. 直接地, 立刻, 立即",zk gk cet4 cet6 toefl,
immemorial,.imi'mɒ:riәl,"a. 太古的, 远古的, 无法追忆的\n[法] 无法追溯的, 无法记忆的, 太古的",gre,
immense,i'mens,"a. 极广大的, 无边的, 非常好的",cet4 cet6 ky toefl ielts gre,
immensity,i'mensiti,"n. 广大, 无边, 巨物",gre,s:immensities
immerse,i'mә:s,"vt. 沉浸, 使陷入\n[医] 浸[入]",cet6 ky toefl ielts gre,d:immersed/p:immersed/i:immersing/3:immerses
immigrant,'imigrәnt,"n. 移民\na. 移入的, 移民的",cet4 cet6 ky toefl ielts,s:immigrants
immigrate,'imigreit,vt. 使移居入境\nvi. 移入,cet4 cet6 toefl,p:immigrated/i:immigrating/3:immigrates/d:immigrated
immigration,.imi'greiʃәn,"n. 移民, 移居\n[医] 移民",gk cet6 toefl,
imminent,'iminәnt,"a. 即将来临的, 逼近的",toefl ielts gre,s:imminents
immobile,i'mәubail,"a. 不动的, 不变的, 固定的, 静止的",toefl,
immobility,.imәu'biliti,"n. 不动性, 不动, 固定\n[医] 不动[性]",toefl,
immobilize,i'mәubilaiz,"vt. 使不动, 使固定, 使不能移动\n[医] 制动, 固定",toefl,d:immobilized/p:immobilized/3:immobilizes/i:immobilizing
immodesty,i'mɔdisti,无礼,toefl,
immolate,'imәuleit,"vt. 为供神而宰杀, 牺牲, 杀死",toefl gre,d:immolated/p:immolated/i:immolating/3:immolates
immortal,i'mɒ:tәl,"n. 不朽人物, 神仙\na. 永远的, 不死的, 长久的",cet6 toefl gre,s:immortals
immune,i'mju:n,"a. 免疫的, 免除的, 不受影响的\nn. 免疫者",cet6 ky toefl ielts gre,
immunity,i'mju:niti,"n. 免疫, 免疫性, 免除\n[化] 免疫性",cet6 toefl gre,s:immunities
immunize,'imju:naiz,"vt. 使免疫, 赋予免疫性",gre,p:immunized/d:immunized/i:immunizing/3:immunizes
immure,i'mjuә,"vt. 监禁, 禁闭",gre,d:immured/p:immured/i:immuring/3:immures
imp,imp,"n. 顽童\nvt. 加强, 给...装上翅膀\n[计] 图象处理程序, 接口信息处理器",gre,s:imps
impact,'impækt,"n. 冲击, 冲突, 影响, 效果\nvt. 挤入, 撞击, 压紧, 对...发生影响",cet4 cet6 ky toefl ielts gre,s:impacts/p:impacted/d:impacted/i:impacting/3:impacts
impair,im'pєә,"vt. 损害, 减少, 削弱\n[法] 损害, 伤害, 减少",cet6 ky toefl ielts gre,d:impaired/p:impaired/3:impairs/i:impairing
impale,im'peil,"vt. 刺穿, 使绝望, 钉住",toefl gre,p:impaled/d:impaled/i:impaling/3:impales
impalpable,im'pælpәbl,"a. 不可触知的, 不能感知的, 难以理解的\n[医] 不可接触的, 极细微的",gre,
impart,im'pɑ:t,"vt. 给予, 传授, 告知",cet6 ky toefl ielts gre,p:imparted/3:imparts/i:imparting/d:imparted
impartial,im'pɑ:ʃәl,"a. 公平的, 不偏不倚的\n[法] 公正无私的, 不偏袒的, 公平的",cet6 ky toefl gre,
impartially,ˌɪmˌpɑ:ʃəlɪ,"adv. 公平地, 无私地; 秉公",toefl,
impasse,'impɑ:s,"n. 难局, 僵局, 死路, 死胡同",gre,
impassible,im'pæsibl,"a. 不觉痛苦的, 不受伤害的, 无感觉的, 无感情的",toefl,
impassioned,im'pæʃәnd,"a. 充满激情的, 狂热的, 热烈的",toefl gre,
impassive,im'pæsiv,"a. 无感情的, 冷淡的, 无感觉的, 不能伤害的",toefl gre,
impatient,im'peiʃәnt,"a. 不耐烦的, 着急的, 急切的",cet4 cet6 ky toefl,
impeach,im'pi:tʃ,"vt. 控告, 怀疑, 检举, 弹劾\n[法] 控告, 检举, 弹劾",toefl gre,d:impeached/i:impeaching/p:impeached/3:impeaches
impeccable,im'pekәbl,"a. 无懈可击的, 勿容置疑的, 无瑕疵的, 不会做坏事的",toefl gre,
impecunious,.impi'kju:njәs,"a. 没有钱的, 身无分文的, 贫穷的",gre,
impede,im'pi:d,"vt. 妨碍, 阻碍, 阻止",toefl ielts gre,d:impeded/i:impeding/3:impedes/p:impeded
impediment,im'pedimәnt,"n. 妨碍, 障碍, 阻止, 口吃\n[经] 对履行义务的阻碍",toefl gre,s:impediments
impel,im'pel,"vt. 推动, 激励, 驱使, 迫使",toefl gre,p:impelled/d:impelled/3:impels/i:impelling
impend,im'pend,"vi. 迫近, 威胁, 悬挂",gre,i:impending/p:impended/3:impends/d:impended
impending,im'pendiŋ,"a. 即将发生的, 迫切的, 悬空的\n[法] 就要来的, 逼在眼前的, 紧急的",toefl gre,1:i/0:impend
impenetrable,im'penitrәbl,"a. 不能通过的, 不可理喻的, 费解的, 顽固的",gre,
impenitent,im'penitәnt,"a. 不知悔改的, 顽固的\nn. 不知悔改的人, 顽固的人",gre,
imperative,im'perәtiv,"n. 命令, 必要的事, 规则, 祈使语气\na. 命令式的, 急需的, 势在必行的, 强制的",cet6 ky toefl ielts gre,s:imperatives
imperial,im'piәriәl,"a. 帝王的, 宗主国的, 至尊的, 壮丽的\nn. 特等品",cet6 ky ielts gre,
imperil,im'peril,"vt. 使处于危险, 危害",gre,d:imperilled/i:imperilling/3:imperils/p:imperiled
imperious,im'piәriәs,"a. 专横的, 傲慢的, 迫切的\n[医] 强制的, 不随意的",gre,
impermanent,im'pә:mәnәnt,"a. 暂时的, 非永久的",gre,
impermeability,im.pә:miә'biliti,"n. 不渗透性, 不透过性\n[医] 不[渗]透性",gre,
impermeable,im'pә:miәbl,"a. 不能渗透的, 不能通过的\n[医] 不[渗]透性",toefl gre,
impersonal,im'pә:sәnәl,"a. 客观的, 和个人无关的, 没有人情味的, 非人称的\nn. 非人称动词(或代词)",toefl,
impersonate,im'pә:sәneit,"vt. 模仿, 扮演, 体现, 使人格化\n[法] 体现, 模仿, 拟人",toefl gre,i:impersonating/3:impersonates/d:impersonated/p:impersonated
impersonation,im.pә:sә'neiʃәn,"n. 扮演, 装扮, 模仿\n[计] 模仿",toefl,s:impersonations
impertinence,im'pә:tinәns,"n. 不切题, 鲁莽, 无礼, 不恰当\n[法] 不切题, 不对题, 不适合",gre,s:impertinences
impertinent,im'pә:tinәnt,"a. 不切题的, 鲁莽的, 无礼的, 粗鲁的, 不恰当的",toefl,
imperturbable,.impә'tә:bәbl,"a. 沉着的, 泰然自若的, 镇静的",gre,
impervious,im'pә:viәs,"a. 透不过的, 不易损坏的, 无动于衷的, 不受影响的\n[医] 不能透过的",toefl gre,
impetuous,im'petʃuәs,"a. 冲动的, 猛烈的, 轻率的, 狂暴的",toefl gre,
